Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species
GCF_039851955.1	Bacillus velezensis	Complete Genome	current	4217652	2	SAMN41431953		China: Inter-root soil of Panax pseudoginseng in Wenshan, Yunnan Province, China	inter-root soil	non_saline_candidate		Bacillus velezensis
GCF_039871465.1	Bacillus velezensis	Scaffold	current	3888046	17	SAMN41455680	landfill soil	China: Yichang City, Hubei Province		non_saline_candidate		Bacillus velezensis
GCF_040105115.1	Bacillus velezensis	Complete Genome	current	3929789	1	SAMN41610859	soil	China: Taizhou City, Zhejiang Province		non_saline_candidate		Bacillus velezensis
GCF_040492855.1	Bacillus velezensis	Scaffold	current	3966101	33	SAMN37160999	oil-contaminated soil samples	Brazil: Porto Alegre		non_saline_candidate		Bacillus velezensis
GCF_040571435.1	Bacillus velezensis	Complete Genome	current	4030990	2	SAMN41704946	soil	China	missing	non_saline_candidate		Bacillus velezensis
GCF_040712045.1	Bacillus velezensis	Complete Genome	current	4240609	1	SAMN40001992	root	USA: Alabama	corn	non_saline_candidate		Bacillus velezensis
GCF_040712055.1	Bacillus velezensis	Complete Genome	current	3952550	1	SAMN40001991	root	USA: Alabama	corn	non_saline_candidate		Bacillus velezensis
GCF_040712065.1	Bacillus velezensis	Complete Genome	current	4155876	1	SAMN40001990	root	USA: Alabama	corn	non_saline_candidate		Bacillus velezensis
GCF_040733995.1	Bacillus velezensis	Complete Genome	current	3857531	1	SAMN27304311	soil	China:Liaoning		non_saline_candidate		Bacillus velezensis
GCF_041879335.1	Bacillus velezensis	Complete Genome	current	4143656	2	SAMN23669287	soil for turfgrass	South Korea: Hwasun		non_saline_candidate		Bacillus velezensis
GCF_041950415.1	Bacillus velezensis	Complete Genome	current	3887713	1	SAMN43541410	soil	China: Wuhan		non_saline_candidate		Bacillus velezensis
GCF_041950455.1	Bacillus velezensis	Complete Genome	current	3907782	1	SAMN43537412	soil	China: Wuhan		non_saline_candidate		Bacillus velezensis
GCF_042019205.1	Bacillus velezensis	Complete Genome	current	4242144	1	SAMN43392604	soil	Democratic Republic of the Congo:Kabare		non_saline_candidate		Bacillus velezensis
GCF_042465255.1	Bacillus velezensis	Complete Genome	current	3952541	1	SAMN40001993	root	USA: Alabama	corn	non_saline_candidate		Bacillus velezensis
GCF_042936585.1	Bacillus velezensis	Complete Genome	current	3997931	1	SAMN43929739	soil	USA: California, Fresno		non_saline_candidate		Bacillus velezensis
GCF_043754615.1	Bacillus velezensis	Complete Genome	current	3973405	1	SAMN44270593	soil	China:Beijing		non_saline_candidate		Bacillus velezensis
GCF_044183005.1	Bacillus velezensis	Complete Genome	current	4189575	3	SAMN44353042	soil	China: Shandong		non_saline_candidate		Bacillus velezensis
GCF_044357845.1	Bacillus velezensis	Complete Genome	current	3913640	1	SAMN16784690	soil	Russia: Krasnodar region		non_saline_candidate		Bacillus velezensis
GCF_044357885.1	Bacillus velezensis	Complete Genome	current	3913613	1	SAMN16784691	wheat root	Russia: Krasnodar region		non_saline_candidate		Bacillus velezensis
GCF_044905085.1	Bacillus velezensis	Complete Genome	current	4186033	1	SAMN42181623	rhizosphere soil	China: chongqing		non_saline_candidate		Bacillus velezensis
GCF_045011655.1	Bacillus velezensis	Complete Genome	current	4077080	1	SAMN34573110	soil	China:Hainan		non_saline_candidate		Bacillus velezensis
GCF_045257725.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN44774774	soil	China: Shanghai		non_saline_candidate		Bacillus velezensis
GCF_045344285.1	Bacillus velezensis	Complete Genome	current	3895561	1	SAMN44786005	soil	China: Hunan		non_saline_candidate		Bacillus velezensis
GCF_045345805.1	Bacillus velezensis	Complete Genome	current	4087900	1	SAMN40506564	potato soil; fields without fungicides or pesticides	China: Inner Mongolia		non_saline_candidate		Bacillus velezensis
GCF_045348085.1	Bacillus velezensis	Complete Genome	current	4074379	1	SAMN40623256	soil	China:hunan		non_saline_candidate		Bacillus velezensis
GCF_046097725.1	Bacillus velezensis	Scaffold	current	3886917	41	SAMN45221904	soil	China: HeBei	peanut	non_saline_candidate		Bacillus velezensis
GCF_047121265.1	Bacillus velezensis	Complete Genome	current	4137489	2	SAMN37691131		China:Luan	soil	non_saline_candidate		Bacillus velezensis
GCF_047220225.1	Bacillus velezensis	Complete Genome	current	4020451	1	SAMN46257578	soil	China:Huaian		non_saline_candidate		Bacillus velezensis
GCF_047300865.1	Bacillus velezensis	Complete Genome	current	3939798	1	SAMN45677237	rhizosphere soil	China:Guiyang, Guizhou Province	kiwifruit	non_saline_candidate		Bacillus velezensis
GCF_047302555.1	Bacillus velezensis	Complete Genome	current	4044968	2	SAMN44627543	root	USA:Tucson	Lactuca serriola	non_saline_candidate		Bacillus velezensis
GCF_047947075.1	Bacillus velezensis	Complete Genome	current	4032063	1	SAMN37473040	soil from an orchard	China: Haikou City	missing	non_saline_candidate		Bacillus velezensis
GCF_048013385.1	Bacillus velezensis	Complete Genome	current	4073650	1	SAMN46800756	root	China:Hefei	missing	non_saline_candidate		Bacillus velezensis
GCF_048288325.1	Bacillus velezensis	Complete Genome	current	3968904	1	SAMN37071267	Potato rhizosphere soil	China:Qujing		non_saline_candidate		Bacillus velezensis
GCF_048288335.1	Bacillus velezensis	Complete Genome	current	3980669	1	SAMN37119131	Potato rhizosphere soil	China:Zhaotong		non_saline_candidate		Bacillus velezensis
GCF_048585455.1	Bacillus velezensis	Complete Genome	current	3980613	1	SAMN46764200	soil	China: Deep in Wuzhishan	none	non_saline_candidate		Bacillus velezensis
GCF_049354995.1	Bacillus velezensis	Complete Genome	current	3907381	1	SAMN40450121	soil	China: Guangxi Zhuang Autonomous Region		non_saline_candidate		Bacillus velezensis
GCF_049434535.1	Bacillus velezensis	Complete Genome	current	3929585	1	SAMN47749806	soil	China:Beijing		non_saline_candidate		Bacillus velezensis
GCF_049537935.1	Bacillus velezensis	Scaffold	current	3976009	14	SAMN47803716	onion rhizospheric soils	Saudi Arabia	onion	non_saline_candidate		Bacillus velezensis
GCF_049544895.1	Bacillus velezensis	Complete Genome	current	3935130	1	SAMN47784587	rhizosphere	China: Yunnan	missing	non_saline_candidate		Bacillus velezensis
GCF_049561815.1	Bacillus velezensis	Complete Genome	current	4139342	1	SAMN47808659	soil	Italy: Lecce		non_saline_candidate		Bacillus velezensis
GCF_049727685.1	Bacillus velezensis	Scaffold	current	3899610	19	SAMN42836843	soil	China: Ili city	Vickifunkia tianschanica	non_saline_candidate		Bacillus velezensis
GCF_049810365.1	Bacillus velezensis	Complete Genome	current	3929585	1	SAMN47922244	soil	China:Beijing		non_saline_candidate		Bacillus velezensis
GCF_049810375.1	Bacillus velezensis	Complete Genome	current	3929585	1	SAMN47922265	soil	China:Beijing		non_saline_candidate		Bacillus velezensis
GCF_049810385.1	Bacillus velezensis	Complete Genome	current	4068475	1	SAMN47925986	Rhizosphere Soil of Poplar Forests in Tibet	China:Tibet		non_saline_candidate		Bacillus velezensis
GCF_049810395.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN47927596	soil	China:Beijing		non_saline_candidate		Bacillus velezensis
GCF_049819585.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN47424389	rhizosphere	China: Quzhou Experimental Station	missing	non_saline_candidate		Bacillus velezensis
GCF_049913295.1	Bacillus velezensis	Complete Genome	current	3976484	1	SAMN47200792	bulk field soil	USA: Iowa State University Marsden Farm, Boone, Co., Iowa		non_saline_candidate		Bacillus velezensis
GCF_050051255.1	Bacillus velezensis	Scaffold	current	3892311	20	SAMN48054947	soil	Brazil: Ceara, Taua		non_saline_candidate		Bacillus velezensis
GCF_050051275.1	Bacillus velezensis	Scaffold	current	3984279	24	SAMN48054946	soil	Brazil: Ceara, Caninde		non_saline_candidate		Bacillus velezensis
GCF_050516485.1	Bacillus velezensis	Complete Genome	current	4045692	1	SAMN48399771	Paju city	South Korea: Paju city	soil	non_saline_candidate		Bacillus velezensis
GCF_050821995.1	Bacillus velezensis	Complete Genome	current	3929750	1	SAMN21891625	tomato root	China	Tomato	non_saline_candidate		Bacillus velezensis
GCF_050908125.1	Bacillus velezensis	Chromosome	current	4000437	25	SAMN48721967	rhizosphere soil	Morocco: BenGuerir	Chenopodium quinoa	non_saline_candidate		Bacillus velezensis
GCF_050909115.1	Bacillus velezensis	Complete Genome	current	3964992	1	SAMN17167596	tobacco rhizosphere soil	China:Shandong		non_saline_candidate		Bacillus velezensis
GCF_051131645.1	Bacillus velezensis	Chromosome	current	3914087	19	SAMN44265031	soil	Thailand		non_saline_candidate		Bacillus velezensis
GCF_051131655.1	Bacillus velezensis	Chromosome	current	3846276	19	SAMN44265067	soil	Thailand		non_saline_candidate		Bacillus velezensis
GCF_051131835.1	Bacillus velezensis	Complete Genome	current	4014208	1	SAMN48027165	soil	China	missing	non_saline_candidate		Bacillus velezensis
GCF_051175615.1	Bacillus velezensis	Complete Genome	current	3935735	1	SAMN49388841	rhizosphere soil	China: Jishou	kiwifruit	non_saline_candidate		Bacillus velezensis
GCF_051311115.1	Bacillus velezensis	Scaffold	current	3949687	34	SAMN44234332	plant	Canada: Hamilton, Ontario	not applicable	non_saline_candidate		Bacillus velezensis
GCF_051354325.1	Bacillus velezensis	Chromosome	current	3871148	1	SAMN49556792	soil	Taiwan: Pingtung		non_saline_candidate		Bacillus velezensis
GCF_051359705.1	Bacillus velezensis	Complete Genome	current	4017243	4	SAMN49751265	soil	China: Changbaishan		non_saline_candidate		Bacillus velezensis
GCF_051472655.1	Bacillus velezensis	Complete Genome	current	3931880	1	SAMN49520446	rhizospheric soil of healthy Aconitum carmichaelii plants	China: Mianyang		non_saline_candidate		Bacillus velezensis
GCF_051549775.1	Bacillus velezensis	Complete Genome	current	3908054	2	SAMN49914656		China:Hainan	Rubber tree roots	non_saline_candidate		Bacillus velezensis
GCF_051801825.1	Bacillus velezensis	Complete Genome	current	3972125	1	SAMN49716296	soil	China: JiLin Province		non_saline_candidate		Bacillus velezensis
GCF_051935925.1	Bacillus velezensis	Complete Genome	current	3929790	1	SAMN33575007	Watermelon root	China:Qiqihar		non_saline_candidate		Bacillus velezensis
GCF_052076155.1	Bacillus velezensis	Complete Genome	current	3935130	1	SAMN50512876	rhizosphere	China	Amorphophallus muelleri	non_saline_candidate		Bacillus velezensis
GCF_052161765.1	Bacillus velezensis	Complete Genome	current	3972125	1	SAMN50449900	soil	China:JiLin Province		non_saline_candidate		Bacillus velezensis
GCF_052229975.1	Bacillus velezensis	Complete Genome	current	3948495	1	SAMN50632453	rhizosphere soil	China:Chongqing	Lonicera macranthoides	non_saline_candidate		Bacillus velezensis
GCF_052535915.1	Bacillus velezensis	Scaffold	current	3889832	12	SAMN50932918	rhizosphere soil	China:Hubei		non_saline_candidate		Bacillus velezensis
GCF_052568205.1	Bacillus velezensis	Complete Genome	current	3940719	1	SAMN50784600	rhizosphere soil	China: Ningxia	potato	non_saline_candidate		Bacillus velezensis
GCF_052692685.1	Bacillus velezensis	Complete Genome	current	4263267	1	SAMN50547684	Plant tissue	India: Cumbum		non_saline_candidate		Bacillus velezensis
GCF_053750075.1	Bacillus velezensis	Complete Genome	current	3919829	1	SAMN50184178	rhizosphere soil	China:Nanjing	Tomato	non_saline_candidate		Bacillus velezensis
GCF_054187945.1	Bacillus velezensis	Complete Genome	current	3918694	1	SAMN52734726	soil	China:Qinghai		non_saline_candidate		Bacillus velezensis
GCF_054189265.1	Bacillus velezensis	Complete Genome	current	3972829	1	SAMN53864870	Oily Soils	China: Shandong		non_saline_candidate		Bacillus velezensis
GCF_054509705.1	Bacillus velezensis	Scaffold	current	3975832	15	SAMN52864958	soil	China: Huangshan	Rhizopus	non_saline_candidate		Bacillus velezensis
GCF_054889405.1	Bacillus velezensis	Chromosome	current	3931236	32	SAMN53034370	soil isolate	Brazil: Parana	soil	non_saline_candidate		Bacillus velezensis
GCF_054889435.1	Bacillus velezensis	Complete Genome	current	4104031	3	SAMN53065547	rhizosphere soil	China		non_saline_candidate		Bacillus velezensis
GCF_054901335.1	Bacillus velezensis	Scaffold	current	3901259	14	SAMN46794513	soil sample	Viet Nam: Khanhhoa		non_saline_candidate		Bacillus velezensis
GCF_054966515.1	Bacillus velezensis	Scaffold	current	3886856	23	SAMN55205697	rhizosphere soil	China: Gansu, Min County		non_saline_candidate		Bacillus velezensis
GCF_055640595.1	Bacillus velezensis	Complete Genome	current	4371976	1	SAMN55903773	soil	China: Hainan		non_saline_candidate		Bacillus velezensis
GCF_055690665.1	Bacillus velezensis	Complete Genome	current	4062997	1	SAMN54376225	Root of Leucas aspera	Bangladesh: Biral, Dinajpur	Leucas aspera	non_saline_candidate		Bacillus velezensis
GCF_055702905.1	Bacillus velezensis	Scaffold	current	4015221	25	SAMN55951487	soil	Brazil		non_saline_candidate		Bacillus velezensis
GCF_055824785.1	Bacillus velezensis	Complete Genome	current	4173552	2	SAMN52586569	Soil of wheatland	China: Tianmen, Hubei		non_saline_candidate		Bacillus velezensis
GCF_056113205.1	Bacillus velezensis	Complete Genome	current	3929791	1	SAMN54771379	farmland soil	China: Qinghai Province		non_saline_candidate		Bacillus velezensis
GCF_056135895.1	Bacillus velezensis	Complete Genome	current	4059411	1	SAMN56447411	soil	China: Hunan province, Yongshun County	rhizosphere	non_saline_candidate		Bacillus velezensis
GCF_056393645.1	Bacillus velezensis	Scaffold	current	3905739	49	SAMN53128743	Soil from vegetable field	Viet Nam: Bien Hoa, Dong Nai Province		non_saline_candidate		Bacillus velezensis
GCF_056437605.1	Bacillus velezensis	Complete Genome	current	3929791	1	SAMN55412797	rhizospheric soil	China: Hebei	apple tree	non_saline_candidate		Bacillus velezensis
GCF_056502285.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN31793111	soil	China:Hohhot		non_saline_candidate		Bacillus velezensis
